"","gdc_file_id","total","alt","sample_id","study","tumor_normal"
"234","dd96878a-6bcc-4c09-99b5-e5659297ed21","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/21/dd96878a-6bcc-4c09-99b5-e5659297ed21/tcga1_in7155_att1/dd96878a-6bcc-4c09-99b5-e5659297ed21!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/21/dd96878a-6bcc-4c09-99b5-e5659297ed21/tcga1_in7155_att1/dd96878a-6bcc-4c09-99b5-e5659297ed21!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-HU-A4HB-11A-11R-A251-31","STAD","normal"
"235","bce300a3-7072-48cd-b7da-1354445fa82f","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/bce300a3-7072-48cd-b7da-1354445fa82f/tcga1_in3967_att0/bce300a3-7072-48cd-b7da-1354445fa82f!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/bce300a3-7072-48cd-b7da-1354445fa82f/tcga1_in3967_att0/bce300a3-7072-48cd-b7da-1354445fa82f!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-A6-2678-11A-01R-A32Z-07","COAD","normal"
"236","26a48b95-4fde-4c32-85f6-481beffb7b2f","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/26a48b95-4fde-4c32-85f6-481beffb7b2f/tcga1_in4906_att1/26a48b95-4fde-4c32-85f6-481beffb7b2f!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/26a48b95-4fde-4c32-85f6-481beffb7b2f/tcga1_in4906_att1/26a48b95-4fde-4c32-85f6-481beffb7b2f!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-DD-A1EG-11A-11R-A213-07","LIHC","normal"
"237","88b939ba-bdb0-4799-bc7a-241020cfb12f","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/88b939ba-bdb0-4799-bc7a-241020cfb12f/tcga1_in9451_att1/88b939ba-bdb0-4799-bc7a-241020cfb12f!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/88b939ba-bdb0-4799-bc7a-241020cfb12f/tcga1_in9451_att1/88b939ba-bdb0-4799-bc7a-241020cfb12f!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-EJ-7784-11A-01R-2118-07","PRAD","normal"
"238","77fc6afc-3176-429e-9306-8422b8c9722f","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/77fc6afc-3176-429e-9306-8422b8c9722f/tcga1_in8394_att2/77fc6afc-3176-429e-9306-8422b8c9722f!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/2f/77fc6afc-3176-429e-9306-8422b8c9722f/tcga1_in8394_att2/77fc6afc-3176-429e-9306-8422b8c9722f!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-CV-7091-11A-01R-2016-07","HNSC","normal"
"239","7d272e6c-826d-4d02-8383-6a3d5bbf3a5f","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5f/7d272e6c-826d-4d02-8383-6a3d5bbf3a5f/tcga1_in6131_att1/7d272e6c-826d-4d02-8383-6a3d5bbf3a5f!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5f/7d272e6c-826d-4d02-8383-6a3d5bbf3a5f/tcga1_in6131_att1/7d272e6c-826d-4d02-8383-6a3d5bbf3a5f!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-BG-A2AD-11A-11R-A16F-07","UCEC","normal"
"240","bc704ef1-15ba-4ee5-913b-6486ea78a939","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/39/bc704ef1-15ba-4ee5-913b-6486ea78a939/tcga1_in1037_att0/bc704ef1-15ba-4ee5-913b-6486ea78a939!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/39/bc704ef1-15ba-4ee5-913b-6486ea78a939/tcga1_in1037_att0/bc704ef1-15ba-4ee5-913b-6486ea78a939!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-CJ-6030-11A-01R-1672-07","KIRC","normal"
"241","a9c0873e-8787-45ed-be42-15e4611d41a1","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/a9c0873e-8787-45ed-be42-15e4611d41a1/tcga1_in1698_att0/a9c0873e-8787-45ed-be42-15e4611d41a1!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/a9c0873e-8787-45ed-be42-15e4611d41a1/tcga1_in1698_att0/a9c0873e-8787-45ed-be42-15e4611d41a1!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-W5-AA2U-11A-11R-A41I-07","CHOL","normal"
"242","16f55849-04ca-4196-8458-df8b9c0b9ea1","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/16f55849-04ca-4196-8458-df8b9c0b9ea1/tcga1_in6122_att1/16f55849-04ca-4196-8458-df8b9c0b9ea1!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/16f55849-04ca-4196-8458-df8b9c0b9ea1/tcga1_in6122_att1/16f55849-04ca-4196-8458-df8b9c0b9ea1!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-EL-A3T0-11A-12R-A22L-07","THCA","normal"
"243","1f522cb6-4c85-49e2-a0aa-29c02b212da1","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/1f522cb6-4c85-49e2-a0aa-29c02b212da1/tcga1_in8557_att1/1f522cb6-4c85-49e2-a0aa-29c02b212da1!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/1f522cb6-4c85-49e2-a0aa-29c02b212da1/tcga1_in8557_att1/1f522cb6-4c85-49e2-a0aa-29c02b212da1!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-38-4626-11A-01R-1758-07","LUAD","normal"
"244","117ec12c-b7ed-4e01-b29b-ea542d356ea1","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/117ec12c-b7ed-4e01-b29b-ea542d356ea1/tcga1_in8527_att1/117ec12c-b7ed-4e01-b29b-ea542d356ea1!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/a1/117ec12c-b7ed-4e01-b29b-ea542d356ea1/tcga1_in8527_att1/117ec12c-b7ed-4e01-b29b-ea542d356ea1!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-P8-A5KD-11A-11R-A35K-07","PCPG","normal"
"245","980cbbae-2c02-4150-8bdb-b67713b6425c","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/980cbbae-2c02-4150-8bdb-b67713b6425c/tcga1_in4347_att0/980cbbae-2c02-4150-8bdb-b67713b6425c!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/980cbbae-2c02-4150-8bdb-b67713b6425c/tcga1_in4347_att0/980cbbae-2c02-4150-8bdb-b67713b6425c!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-39-5040-11A-01R-2125-07","LUSC","normal"
"246","7692c083-da53-4192-b9e7-6afd0cdffd5c","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/7692c083-da53-4192-b9e7-6afd0cdffd5c/tcga1_in7773_att1/7692c083-da53-4192-b9e7-6afd0cdffd5c!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/7692c083-da53-4192-b9e7-6afd0cdffd5c/tcga1_in7773_att1/7692c083-da53-4192-b9e7-6afd0cdffd5c!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-AA-3713-11A-01R-1723-07","COAD","normal"
"247","de188743-5a3a-49bc-9541-32bfb8a3595c","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/de188743-5a3a-49bc-9541-32bfb8a3595c/tcga1_in8215_att1/de188743-5a3a-49bc-9541-32bfb8a3595c!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/de188743-5a3a-49bc-9541-32bfb8a3595c/tcga1_in8215_att1/de188743-5a3a-49bc-9541-32bfb8a3595c!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-BH-A1FB-11A-33R-A13Q-07","BRCA","normal"
"248","81f20304-7073-495a-baca-f6db2e7e8a5c","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/81f20304-7073-495a-baca-f6db2e7e8a5c/tcga1_in10341_att1/81f20304-7073-495a-baca-f6db2e7e8a5c!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5c/81f20304-7073-495a-baca-f6db2e7e8a5c/tcga1_in10341_att1/81f20304-7073-495a-baca-f6db2e7e8a5c!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-77-7142-11A-01R-2045-07","LUSC","normal"
"249","18c27423-8bab-4427-bcbb-f554c7a03c43","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/18c27423-8bab-4427-bcbb-f554c7a03c43/tcga1_in195_att0/18c27423-8bab-4427-bcbb-f554c7a03c43!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/18c27423-8bab-4427-bcbb-f554c7a03c43/tcga1_in195_att0/18c27423-8bab-4427-bcbb-f554c7a03c43!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-CV-7437-11A-01R-2132-07","HNSC","normal"
"250","42ef1cda-78dc-4c59-9581-3a8a904f4943","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/42ef1cda-78dc-4c59-9581-3a8a904f4943/tcga1_in615_att0/42ef1cda-78dc-4c59-9581-3a8a904f4943!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/42ef1cda-78dc-4c59-9581-3a8a904f4943/tcga1_in615_att0/42ef1cda-78dc-4c59-9581-3a8a904f4943!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-G9-6362-11A-01R-1789-07","PRAD","normal"
"251","e56486b8-faae-42bf-b67e-d253783b1043","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/e56486b8-faae-42bf-b67e-d253783b1043/tcga1_in1981_att0/e56486b8-faae-42bf-b67e-d253783b1043!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/e56486b8-faae-42bf-b67e-d253783b1043/tcga1_in1981_att0/e56486b8-faae-42bf-b67e-d253783b1043!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-HD-A6HZ-11A-11R-A31N-07","HNSC","normal"
