sample_id,total,alt,study,sample_id_rep,individual_id
ERR188077,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188077/sra_human_v3_21_in1807_att0/ERR188077!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188077/sra_human_v3_21_in1807_att0/ERR188077!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188077,NA11893
ERR188177,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188177/sra_human_v3_21_in1907_att0/ERR188177!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188177/sra_human_v3_21_in1907_att0/ERR188177!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188177,NA12234
ERR188377,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188377/sra_human_v3_21_in2107_att0/ERR188377!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188377/sra_human_v3_21_in2107_att0/ERR188377!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188377,NA12045
ERR188277,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188277/sra_human_v3_21_in2007_att0/ERR188277!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188277/sra_human_v3_21_in2007_att0/ERR188277!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188277,NA12340
ERR188477,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188477/sra_human_v3_21_in2207_att0/ERR188477!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/77/ERR188477/sra_human_v3_21_in2207_att0/ERR188477!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188477,NA12778
ERR188400,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188400/sra_human_v3_21_in2130_att1/ERR188400!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188400/sra_human_v3_21_in2130_att1/ERR188400!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188400,HG00188
ERR188200,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188200/sra_human_v3_21_in1930_att0/ERR188200!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188200/sra_human_v3_21_in1930_att0/ERR188200!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188200,NA18519
ERR188300,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188300/sra_human_v3_21_in2030_att0/ERR188300!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188300/sra_human_v3_21_in2030_att0/ERR188300!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188300,HG00319
ERR188100,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188100/sra_human_v3_21_in1830_att0/ERR188100!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/00/ERR188100/sra_human_v3_21_in1830_att0/ERR188100!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188100,NA12762
ERR188399,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188399/sra_human_v3_21_in2129_att0/ERR188399!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188399/sra_human_v3_21_in2129_att0/ERR188399!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188399,NA20531
ERR188299,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188299/sra_human_v3_21_in2029_att0/ERR188299!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188299/sra_human_v3_21_in2029_att0/ERR188299!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188299,HG00376
ERR188099,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188099/sra_human_v3_21_in1829_att0/ERR188099!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188099/sra_human_v3_21_in1829_att0/ERR188099!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188099,NA12843
ERR188199,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188199/sra_human_v3_21_in1929_att0/ERR188199!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/99/ERR188199/sra_human_v3_21_in1929_att0/ERR188199!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188199,NA20585
ERR188293,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188293/sra_human_v3_21_in2023_att0/ERR188293!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188293/sra_human_v3_21_in2023_att0/ERR188293!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188293,HG00116
ERR188393,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188393/sra_human_v3_21_in2123_att1/ERR188393!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188393/sra_human_v3_21_in2123_att1/ERR188393!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188393,NA20772
ERR188193,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188193/sra_human_v3_21_in1923_att0/ERR188193!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188193/sra_human_v3_21_in1923_att0/ERR188193!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188193,NA19141
ERR188093,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188093/sra_human_v3_21_in1823_att0/ERR188093!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/93/ERR188093/sra_human_v3_21_in1823_att0/ERR188093!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188093,NA19150
ERR188432,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188432/sra_human_v3_21_in2162_att0/ERR188432!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188432/sra_human_v3_21_in2162_att0/ERR188432!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188432,HG00309
ERR188332,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188332/sra_human_v3_21_in2062_att0/ERR188332!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188332/sra_human_v3_21_in2062_att0/ERR188332!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188332,HG00158
ERR188232,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188232/sra_human_v3_21_in1962_att0/ERR188232!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188232/sra_human_v3_21_in1962_att0/ERR188232!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188232,NA19160
ERR188032,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188032/sra_human_v3_21_in1762_att0/ERR188032!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188032/sra_human_v3_21_in1762_att0/ERR188032!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188032,NA12275
ERR188132,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188132/sra_human_v3_21_in1862_att0/ERR188132!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/32/ERR188132/sra_human_v3_21_in1862_att0/ERR188132!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188132,NA20797
ERR188045,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188045/sra_human_v3_21_in1775_att0/ERR188045!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188045/sra_human_v3_21_in1775_att0/ERR188045!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188045,HG00321
